company	Column name	psi_ms_id
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena C18	MS:5001200
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena C18-BIO	MS:5001201
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena C18-WP	MS:5001202
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena C30	MS:5001203
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena C4	MS:5001204
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena C8	MS:5001205
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena CN	MS:5001206
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena Diol	MS:5001207
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena HILIC	MS:5001208
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena HILIC(2)	MS:5001209
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena NH2	MS:5001210
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena PAHs	MS:5001211
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena Phenyl	MS:5001212
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena SCX	MS:5001213
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena SCX(2)	MS:5001214
ANPEL Laboratory Technologies Inc.	ANPEL Laboratory Technologies Inc. Athena Silica	MS:5001215
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE AQ	MS:5001014
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C18	MS:5001015
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C18-300	MS:5001016
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C18-AR	MS:5001017
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C18-Amide	MS:5001018
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C18-HL	MS:5001019
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C18-PFP	MS:5001020
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C4	MS:5001021
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C4-300	MS:5001022
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C8	MS:5001023
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE C8-300	MS:5001024
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE CN	MS:5001025
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE CN-300	MS:5001026
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE CN-ES	MS:5001027
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel AQ	MS:5001028
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel C18	MS:5001029
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel C18-AR	MS:5001030
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel C18-Amide	MS:5001031
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel C18-PFP	MS:5001032
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel C4	MS:5001033
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel C8	MS:5001034
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel CN	MS:5001035
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel CN-ES	MS:5001036
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel NH2	MS:5001037
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel Phenyl	MS:5001038
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Excel SuperC18	MS:5001039
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Phenyl	MS:5001040
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE Phenyl-300	MS:5001041
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE SIL	MS:5001042
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE SuperC18	MS:5001043
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE UltraCore SuperC18	MS:5001044
Advanced Chromatography Technologies	Advanced Chromatography Technologies ACE UltraCore SuperPhenylHexyl	MS:5001045
Advanced Materials Technology	Advanced Materials Technology HALO AQ-C18	MS:5001553
Advanced Materials Technology	Advanced Materials Technology HALO Biphenyl	MS:5001554
Advanced Materials Technology	Advanced Materials Technology HALO C18	MS:5001555
Advanced Materials Technology	Advanced Materials Technology HALO C30	MS:5001556
Advanced Materials Technology	Advanced Materials Technology HALO C8	MS:5001557
Advanced Materials Technology	Advanced Materials Technology HALO ES-C18	MS:5001558
Advanced Materials Technology	Advanced Materials Technology HALO ES-CN	MS:5001559
Advanced Materials Technology	Advanced Materials Technology HALO HILIC	MS:5001560
Advanced Materials Technology	Advanced Materials Technology HALO LPH-C18	MS:5001561
Advanced Materials Technology	Advanced Materials Technology HALO PFP	MS:5001562
Advanced Materials Technology	Advanced Materials Technology HALO Penta-HILIC	MS:5001563
Advanced Materials Technology	Advanced Materials Technology HALO Phenyl-Hexyl	MS:5001564
Advanced Materials Technology	Advanced Materials Technology HALO RP-Amide	MS:5001565
Agilent	Agilent InfinityLab Poroshell 120 Aq-C18	MS:5001677
Agilent	Agilent InfinityLab Poroshell 120 Bonus-RP	MS:5001678
Agilent	Agilent InfinityLab Poroshell 120 CS-C18	MS:5001679
Agilent	Agilent InfinityLab Poroshell 120 EC-C18	MS:5001680
Agilent	Agilent InfinityLab Poroshell 120 EC-C8	MS:5001681
Agilent	Agilent InfinityLab Poroshell 120 EC-CN	MS:5001682
Agilent	Agilent InfinityLab Poroshell 120 HILIC	MS:5001683
Agilent	Agilent InfinityLab Poroshell 120 HILIC-OH5	MS:5001684
Agilent	Agilent InfinityLab Poroshell 120 HILIC-Z	MS:5001685
Agilent	Agilent InfinityLab Poroshell 120 HILIC-Z (PEEK-lined)	MS:5001686
Agilent	Agilent InfinityLab Poroshell 120 HPH-C18	MS:5001687
Agilent	Agilent InfinityLab Poroshell 120 HPH-C8	MS:5001688
Agilent	Agilent InfinityLab Poroshell 120 PFP	MS:5001689
Agilent	Agilent InfinityLab Poroshell 120 Phenyl-Hexyl	MS:5001690
Agilent	Agilent InfinityLab Poroshell 120 SB-Aq	MS:5001691
Agilent	Agilent InfinityLab Poroshell 120 SB-C18	MS:5001692
Agilent	Agilent InfinityLab Poroshell 120 SB-C8	MS:5001693
Agilent	Agilent Microsorb C18	MS:5001873
Agilent	Agilent Microsorb C4	MS:5001874
Agilent	Agilent Microsorb C8	MS:5001875
Agilent	Agilent Microsorb CN	MS:5001876
Agilent	Agilent Microsorb NH2	MS:5001877
Agilent	Agilent Microsorb Phenyl	MS:5001878
Agilent	Agilent Microsorb-MV CN	MS:5001879
Agilent	Agilent Monochrom C18	MS:5001881
Agilent	Agilent Monochrom CN	MS:5001882
Agilent	Agilent Monochrom Diol	MS:5001883
Agilent	Agilent Monochrom MS	MS:5001884
Agilent	Agilent Monochrom Si	MS:5001885
Agilent	Agilent OmniSpher C18	MS:5001960
Agilent	Agilent Polaris Amide-C18	MS:5002076
Agilent	Agilent Polaris C18	MS:5002077
Agilent	Agilent Polaris C18-A	MS:5002078
Agilent	Agilent Polaris C18-Ether	MS:5002079
Agilent	Agilent Polaris C8-A	MS:5002080
Agilent	Agilent Polaris C8-Ether	MS:5002081
Agilent	Agilent Pursuit C18	MS:5002183
Agilent	Agilent Pursuit C8	MS:5002184
Agilent	Agilent Pursuit Diphenyl	MS:5002185
Agilent	Agilent Pursuit PAH	MS:5002186
Agilent	Agilent Pursuit PFP	MS:5002187
Agilent	Agilent Pursuit Si	MS:5002188
Agilent	Agilent Pursuit UPS 1.9 C18	MS:5002189
Agilent	Agilent Pursuit UPS 1.9 Diphenyl	MS:5002190
Agilent	Agilent Pursuit UPS 2.4 C18	MS:5002191
Agilent	Agilent Pursuit UPS 2.4 Diphenyl	MS:5002192
Agilent	Agilent Pursuit XRs C18	MS:5002193
Agilent	Agilent Pursuit XRs C8	MS:5002194
Agilent	Agilent Pursuit XRs Diphenyl	MS:5002195
Agilent	Agilent Pursuit XRs Si	MS:5002196
Agilent	Agilent ZORBAX 300 SB-C18	MS:5002754
Agilent	Agilent ZORBAX 300 SB-C3	MS:5002755
Agilent	Agilent ZORBAX 300 SB-CN	MS:5002756
Agilent	Agilent ZORBAX 300SB-C18	MS:5002757
Agilent	Agilent ZORBAX 300SB-CN	MS:5002758
Agilent	Agilent ZORBAX Bonus-RP	MS:5002759
Agilent	Agilent ZORBAX C18	MS:5002760
Agilent	Agilent ZORBAX C8	MS:5002761
Agilent	Agilent ZORBAX CN	MS:5002762
Agilent	Agilent ZORBAX Eclipse PAH	MS:5002763
Agilent	Agilent ZORBAX Eclipse Plus C18	MS:5002764
Agilent	Agilent ZORBAX Eclipse Plus C8	MS:5002765
Agilent	Agilent ZORBAX Eclipse XDB-C18	MS:5002766
Agilent	Agilent ZORBAX Eclipse XDB-C8	MS:5002767
Agilent	Agilent ZORBAX Eclipse XDB-CN	MS:5002768
Agilent	Agilent ZORBAX Eclipse XDB-Phenyl	MS:5002769
Agilent	Agilent ZORBAX Extend-C18	MS:5002770
Agilent	Agilent ZORBAX HILIC Plus	MS:5002771
Agilent	Agilent ZORBAX NH2	MS:5002772
Agilent	Agilent ZORBAX ODS	MS:5002773
Agilent	Agilent ZORBAX Original NH2	MS:5002774
Agilent	Agilent ZORBAX Phenyl	MS:5002775
Agilent	Agilent ZORBAX RR Bonus-RP	MS:5002776
